region,region,hemi,func_grad,x.mni,y.mni,z.mni,region,hemi,thickness,O2_metab,Glucose_metab,fcgradient01,fcgradient02,D1,D2,DAT,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,a4b2,M1,VAChT,GABA,NMDA,mGluR,NET,H3,CB1,MOR
G front inf-Orbital,LF,left,1,-44.306,30.741,-10.499,G_front_inf-Orbital',left,2.9170268,5164.9175,6687.7324,5.2931337,-0.28256002,17.00735,1.028198868,28.322721,30.4774,0.264087504,43.939953,1.5953796,0.5687574,3.5951188,10.768563,3.9440775,-0.164252393,589.5482,7.904216,0.569414555,0.051148433,19.292747,1.3906708,29.774168
G front inf-Orbital,RF,right,1,47.925,32.35,-6.988,G_front_inf-Orbital',right,2.7827692,5190.0186,6764.98,5.2587905,-0.18695751,16.61259,0.941292253,27.583338,28.661888,0.288301461,45.136654,1.2267838,0.5205038,2.5466926,11.395198,4.188195,-0.172130209,637.995,7.577844,0.417482121,0.087923594,19.23339,1.3663487,29.658272
G front inf-Triangul,LF,left,1,-48.826,29.933,3.848,G_front_inf-Triangul',left,2.6912408,5197.6587,6939.739,4.702516,-0.15070176,13.894013,0.882670629,27.253777,30.390984,0.610837051,43.271362,1.2271962,0.55314136,2.7087862,10.868783,3.7624567,0.001287725,583.29205,7.513544,0.581298982,0.09360928,17.514128,1.3976517,28.843586
G front inf-Triangul,RF,right,1,51.05,28.051,6.786,G_front_inf-Triangul',right,2.6930904,5240.134,6970.4526,2.741535,0.03620214,14.305699,0.875601355,27.354553,29.926178,0.606339744,39.453392,1.1900162,0.54871255,2.477321,11.69315,4.268987,-0.034600492,635.2973,7.7067685,0.630434523,0.1286384,19.953869,1.3766882,27.46847
G front middle,LF,left,1,-37.27,29.7,31.553,G_front_middle',left,2.640196,5184.1978,6997.3,4.0917096,-0.04001478,13.655559,0.862150183,24.927685,34.325874,0.850983954,30.990986,0.74578303,0.5778949,1.3605448,11.307685,4.1033134,-0.298442469,668.4713,7.45959,0.561709938,0.08788223,20.12622,1.4249274,32.294205
G front middle,RF,right,1,38.204,29.401,30.849,G_front_middle',right,2.6460688,5308.886,7200.8896,4.0863094,0.057296965,14.709412,0.90304004,25.417294,34.694157,1.102707467,36.643223,0.8793151,0.5423434,1.5042516,12.206998,4.6378927,-0.382337565,711.7647,7.4903035,0.571984554,0.11303868,21.541967,1.448164,32.01614
G front sup,LF,left,1,-9.03,21.65,51.327,G_front_sup',left,2.891869,5031.3433,6606.5244,2.406174,-0.7464147,11.444259,0.738927442,23.411587,29.734648,0.052737436,43.96027,1.2902105,0.4561409,2.5158734,10.510348,3.763473,-0.141522061,662.6906,7.7000885,-0.080725445,0.06691274,21.93423,1.3417408,28.907766
G front sup,RF,right,1,9.28,22.781,52.457,G_front_sup',right,2.8794823,5105.056,6653.259,2.038244,-0.7178289,11.867548,0.77125373,23.118555,29.462976,0.04512586,39.26412,1.1958145,0.45986876,2.3385515,10.914336,3.7981071,-0.143164952,654.675,7.741495,-0.085569352,0.06871025,21.313896,1.3346502,28.772318
G insular short,LT,left,2,-35.043,8.586,-2.554,G_insular_short',left,3.6307635,4990.119,5933.024,-0.37877473,-0.50825614,22.151548,1.982786991,35.443413,54.334084,1.462487525,44.500683,2.098246,0.60867715,7.9766235,9.891407,4.0458174,1.336025173,691.7408,8.911701,1.011496657,0.04191315,25.295555,1.5100799,37.602474
G insular short,RT,right,2,36.318,9.454,-2.202,G_insular_short',right,3.535017,5226.571,6338.5815,-0.70882195,-0.48122284,23.587677,1.761049622,36.98673,55.137394,1.935275828,42.609337,1.9387918,0.5845365,7.117556,10.497427,4.7498565,1.278059262,726.41486,8.841928,1.912330596,0.093001336,25.763237,1.5555173,37.952938
