pos_genes,neg_genes
LYPLA1,TMEM234
AOC2,CHID1
AATK,RIN1
BRWD3,CMSS1
MCTS1,ZMYND10
YPEL3,TMEM159
ERG,NELFE
ATP6V1B2,LRRC3B
CIDECP,44987
CDH22,CXADRP2
ANAPC10,RAP1GAP
LYSMD2,PMF1
FAM20A,HTR1A
IDH3A,SGSM2
C16orf45,TCAP
KLHL28,SRGAP1
JAKMIP3,NECAB2
HYAL3,FABP5
KREMEN2,FZD7
WDR70,LOC285097
C4orf3,CD81
RACGAP1,TRIM27
GPR20,ANO2
NT5DC1,HEYL
USP6NL,DERL1
NR1D2,STK25
DIS3,UNC5B-AS1
GGA2,CRHBP
SLC16A14,DPY19L3
WARS,HPCAL4
GTF3C3,FZD1
DOPEY2,TMEM158
ZKSCAN4,GNB4
PKNOX2,NUMBL
UBLCP1,MZT2B
FSBP,ACOT2
PHF23,SMAD2
SNX24,SIVA1
SLC33A1,ACKR3
TMEM60,C1orf194
SLC15A4,SPINT2
FAM13A,ARPC5
CLVS2,PSMB2
DCLRE1A,SYNPR
TNFRSF25,GPC4
STARD13,HIST1H2BK
C2CD3,EEF1AKMT1
FAM86HP,MAOB
PKM,DUSP18
CITED2,IL1B
RALY,WDR25
GIGYF2,RSPO3
FOXN3,PHF13
USPL1,LIN7B
C3orf35,LINC01094
DSTYK,SSTR1
DPY19L2P4,TMEM200A
RASD2,THTPA
PTPN5,APLN
ASPHD1,PMVK
CDYL,MYH7
VMP1,POLR2G
MORC2-AS1,SMIM29
CNOT6L,RAB3B
CDKN2A,PIAS3
CYCS,LSM3
GTF3A,CD163
REP15,LOC728392
NOP2,VPS37D
ZC3H18,CFAP61
SPATA6,HECTD2
PDCL3,UQCC2
RGPD4,FARSB
TIAM2,B9D1
TAS2R5,HIST1H2BC
FZD6,TRIM24
DHRS11,PEG10
MLYCD,ELFN2
RAI1,GSPT2
CHCHD4,GPR183
PDZD8,EFHC2
SPAG9,ATOX1
B4GALT4,ACP1
FAM210B,PQLC3
ILK,SMARCD1
NCDN,FUK
CUX1,DOCK7
FAM189B,ADCYAP1R1
ZNF165,RGS9
NIF3L1,LOC729970
RAB11B,STUM
FEZ1,IQCK
CD274,PLD6
PPM1L,SEC11C
RNF144B,FAM241B
TRPT1,FAM105A
CWC25,HERC4
ZNF718,CACNG4
SLU7,SLC39A6
LOC100506388,TEX9
DCP1A,PYGL
TSPYL5,PSENEN
FSTL1,GPR6
PKD2,EGLN1
ZNF398,GRIA1
G0S2,PLPPR3
HERPUD1,EFCAB1
KRIT1,MRPL23
ENDOD1,GRIK1
HSBP1L1,TIMP1
ING1,IL12RB2
CAPN15,PUS7L
CSTF2,ZNF589
ATG4B,SLC26A11
CLASRP,UBL5
AKAP6,NPY1R
DIDO1,TEK
C9orf3,TRPC4
METTL15,UPP2
INTS8,ACOX3
RANBP17,PLTP
MIS18BP1,AK4
PLPP7,SUSD1
MFAP3,MMP16
ROPN1L,PLXND1
URB2,RPL6
TMEM204,GDA
INSM2,DENND1C
DNAJC5G,PRKCD
ADAMTS13,SRRD
ZNF598,TTYH1
DGCR2,TRMT112
PLAT,HPCA
ANKRD33B,ASPHD2
CDK6,KRT14
ADCY1,GNPTAB
PGD,BCR
ZBTB26,STXBP4
ANKRD20A9P,FBLN2
DUSP4,CFAP97
HACE1,STXBP3
MFHAS1,ILF3-AS1
PIGL,CHST1
HIST4H4,LMO3
FBXO31,ATP2B4
TOP1P2,BAIAP2
TOB1-AS1,CES4A
GABRA4,C6orf118
ZNF503,FAM172A
RAB40C,MANEAL
WDFY3,WISP2
LSMEM1,TMEM215
MRRF,LOC441052
RASSF4,ARPC2
GPBP1L1,PNCK
RAB11FIP3,NUCB2
ADSSL1,SPATC1L
ADRB1,TEAD1
REPS1,HHIPL1
KLHL24,NANOS1
AFTPH,GPM6A
ZZEF1,RELN
WDR55,NBDY
